// F-16DM-52 - Block 50 Type
// Last edited: 16/11/2019
// <command name>   <x>   <y>   <z>   <size>   <snd>   <msbtn>   <wheel>
// Panel order: left to right, top down


//////////////////
// LEFT CONSOLE //
//////////////////

// Test
SimOverHeat                      1.121815    1.653162   -2.226992    30    312    1
SimOBOGSBit                      1.057516    1.655789   -2.226992    30    115    1
SimMalIndLights                  0.982482    1.649362   -2.226992    30    312    1
SimProbeHeatMoveUp               1.146550    1.537901   -2.255383    30    115    1
SimProbeHeatMoveDown             1.146550    1.537901   -2.255383    30    115    2
SimEpuGenTest                    1.063608    1.536168   -2.256279    30    115    1
SimFlcsPowerTest                 0.998593    1.454841   -2.276584    30    310    1

// Flight Control
SimDigitalBUPBackup              0.792535    1.672152   -2.231755    30    311    1
SimDigitalBUPOff                 0.792535    1.672152   -2.231755    30    311    2
SimAltFlapsExtend                0.634525    1.668675   -2.233506    30    311    1
SimAltFlapsNorm                  0.634525    1.668675   -2.233506    30    311    2
SimManualFlyupDisable            0.716779    1.544263   -2.260399    30    311    1
SimManualFlyupEnable             0.716779    1.544263   -2.260399    30    311    2
SimLEFLock                       0.822830    1.422632   -2.289611    30    311    1
SimLEFAuto                       0.822830    1.422632   -2.289611    30    311    2
SimFLCSReset                     0.687785    1.419160   -2.291230    30    115    1
SimFLTBIT                        0.565811    1.418470   -2.287200    30    319    1

// Manual Trim
SimTrimRollLeft                  0.870152    1.270360   -2.291560    30    309    1
SimTrimRollRight                 0.870152    1.270360   -2.291560    30    309    2
SimTrimAPNORM                    0.611879    1.300908   -2.311079    30    310    1
SimTrimAPDISC                    0.611879    1.300908   -2.311079    30    310    2
SimTrimYawLeft                   0.831966    1.106001   -2.312325    30    116    1
SimTrimYawRight                  0.831966    1.106001   -2.312325    30    116    2
SimTrimNoseUp                    0.615867    1.083721   -2.334782    30    309    1
SimTrimNoseDown                  0.615867    1.083721   -2.334782    30    309    2

// Fuel
SimDecFuelPump                   0.214290    1.609503   -2.235212    30    124    2    w
SimIncFuelPump                   0.214290    1.609503   -2.235212    30    124    1    w
SimMasterFuelOn                  0.403315    1.641081   -2.259847    30    317    1
SimMasterFuelOff                 0.403315    1.641081   -2.259847    30    316    2
SimFuelDoorClose                 0.112890    1.632864   -2.268466    30    311    2
SimFuelDoorOpen                  0.112890    1.632864   -2.268466    30    311    1
//unused: Tank Inerting On       0.321484    1.602720   -2.235212    30    311    1
//unused: Tank Inerting Off      0.321484    1.602720   -2.235212    30    311    2

// IFF
SimAuxComUFC                     0.134628    1.451730   -2.280160    25    125    1    w
SimAuxComBackup                  0.134628    1.451730   -2.280160    25    125    2    w
SimIFFMasterInc                  0.381372    1.453957   -2.263363    35    124    1    w
SimIFFMasterDec                  0.381372    1.453957   -2.263363    35    124    2    w
SimIFFCodeSwitchZero             0.249523    1.450910   -2.276259    25    311    1
SimIFFCodeSwitchHold             0.249523    1.450910   -2.276259    25    311    2
SimIFFMode4ReplyInc              0.169896    1.327007   -2.319809    25    115    1
SimIFFMode4ReplyDec              0.169896    1.327007   -2.319809    25    115    2
SimIFFMode4MonitorAud            0.100943    1.327007   -2.319809    25    115    1
SimIFFMode4MonitorOff            0.100943    1.327007   -2.319809    25    115    2
SimIFFBackupM1Digit1Inc          0.345384    1.307571   -2.317857    15    312    1    w
SimIFFBackupM1Digit1Dec          0.345384    1.307571   -2.317857    15    312    2    w
SimIFFBackupM1Digit2Inc          0.305736    1.307571   -2.317857    15    312    1    w
SimIFFBackupM1Digit2Dec          0.305736    1.307571   -2.317857    15    312    2    w
SimIFFBackupM3Digit1Inc          0.266717    1.306281   -2.317857    15    312    1    w
SimIFFBackupM3Digit1Dec          0.266717    1.306281   -2.317857    15    312    2    w
SimIFFBackupM3Digit2Inc          0.227914    1.304755   -2.317857    15    312    1    w
SimIFFBackupM3Digit2Dec          0.227914    1.304755   -2.317857    15    312    2    w
SimIFFEnableInc                  0.422588    1.327007   -2.319809    25    310    1
SimIFFEnableDec                  0.422588    1.327007   -2.319809    25    310    2

// Exterior Lighting
SimAntiCollOn                    0.396671    1.181653   -2.339894    30    115    1
SimAntiCollOff                   0.396671    1.181653   -2.339894    30    115    2
SimLightsFlash                   0.303051    1.178091   -2.341300    30    115    1
SimLightsSteady                  0.303051    1.178091   -2.341300    30    115    2
SimWingLightBrt                  0.218657    1.163248   -2.352303    30    115    1
SimWingLightOff                  0.218657    1.163248   -2.352303    30    115    2
SimWingLightBrt                  0.114784    1.159700   -2.353764    30    115    1
SimWingLightOff                  0.114784    1.159700   -2.353764    30    115    2
//unused: Extl Form Inc          0.381256    1.065437   -2.357922    35    116    1    w
//unused: Extl Form Dec          0.381256    1.065437   -2.357922    35    116    2    w
SimExtlMasterNorm                0.264571    1.047735   -2.362698    30    115    1
SimExtlMasterOff                 0.264571    1.047735   -2.362698    30    115    2
