Pit: Aeyes 3D F-15C, Creator: Daws, Version: 1.0

<command name>           <x>     <y> 	<z>	<size>	<snd>	<msbtn>

//icp
SimICPAG                -2.402 -0.259  -1.464 30 129   1
SimICPCom1              -1.535 -1.604  -2.890 18 127   1		
SimICPCom2              -1.455 -1.604  -2.740 18 127   1
SimICPLIST              -1.390 -1.604  -2.590 18 127   1		
SimICPTILS              -1.455 -1.604  -2.890 18 127   1		
SimICPALOW              -1.390 -1.604  -2.740 18 127   1			
SimICPTHREE             -1.320 -1.604  -2.590 18 127   1			
SimICPStpt              -1.385 -1.604  -2.890 18 127   1		
SimICPCrus              -1.315 -1.604  -2.740 18 127   1		
SimICPSIX               -1.245 -1.604  -2.590 18 127   1		
SimICPMark              -1.300 -1.604  -2.890 18 127   1			
SimICPEIGHT             -1.245 -1.604  -2.740 18 127   1		
SimICPNINE              -1.175 -1.604  -2.590 18 127   1		
SimICPZERO              -1.170 -1.604  -2.740 18 127   1		
SimICPCLEAR             -1.230 -1.604  -2.890 20 127   1			
SimICPEnter             -1.110 -1.604  -2.590 20 127   1		
SimICPNext              -1.768 -1.604  -3.140 20 127   1		
SimICPPrevious          -1.930 -1.604  -3.440 20 127   1		
SimICPDEDUP             -1.470 -1.604  -2.600 20 127   1	
SimICPDEDDOWN           -1.560 -1.604  -2.760 20 127   1		
SimICPDEDSEQ            -1.650 -1.604  -2.950 20 127   1			
SimICPResetDED          -1.100 -1.604  -2.740 20 127   1
SimDriftCOOn            -2.3    0.054  -1.089 20 115   1
SimDriftCOOff           -2.3    0.054  -1.089 20 115   2
SimHUDBrightnessUp	-2.34   0.24   -1.246 20 125   1
SimHUDBrightnessDown	-2.34   0.24   -1.246 20 125   2
ExtinguishMasterCaution	-2.209  0.257  -0.639 40 127   1
SimStepComm1VolumeUp    -2.227 -0.166  -0.800 20 125   1
SimStepComm1VolumeDown	-2.227 -0.166  -0.800 20 125   2
SimCycleRadioChannel    -2.256  0.277  -0.913 20 126   1
