---- Created by LOD Exporter ----
AFAlternateGear	-1.94448	1.249588	-1.88695	30	115	1
AFAlternateGearReset	-1.94448	1.249588	-1.88695	30	115	2
AFCanopyToggle	-1.1204	-1.123762	-1.598873	20	129	1
AFGearDown	-1.99499	1.187428	-1.923224	20	118	1
AFGearUp	-1.99499	1.187428	-1.923224	20	119	2
AFWingFoldToggle	-1.78202	-1.321317	-2.054323	20	129	1
ExtinguishMasterCaution	-2.1719	-0.594749	-0.562107	20	120	1
ExtinguishMasterCaution	-2.1719	0.594749	-0.562107	20	120	1
SimAltPressDec	-2.16489	-0.642215	-1.897492	20	129	2	w
SimAltPressInc	-2.16489	-0.642215	-1.897492	20	129	1	w
SimAntiCollOff	-1.01521	1.260895	-2.292025	20	128	2
SimAntiCollOn	-1.01521	1.260895	-2.292025	20	128	1
SimAud1Com1Gd	-1.97625	0.245171	-0.950097	20	129	2
SimAud1Com1Sql	-1.97625	0.245171	-0.950097	20	124	1
SimAud1Com2Gd	-1.97579	-0.249671	-0.95487	20	129	2
SimAud1Com2Sql	-1.97579	-0.249671	-0.95487	20	124	1
SimAuxComBackup	-0.16744	1.177313	-2.355861	20	129	2
SimAuxComUFC	-0.16744	1.177313	-2.355861	20	129	1
SimAVTRSwitchDown	-1.84033	-0.135814	-0.416347	20	115	2
SimAVTRSwitchUp	-1.84033	-0.135814	-0.416347	20	115	1
SimBupUhfFuncDec	-0.10823	1.299701	-2.337009	20	129	2
SimBupUhfFuncInc	-0.10823	1.299701	-2.337009	20	129	1
SimBupUhfModeDec	0.11821	1.299701	-2.347537	20	129	2
SimBupUhfModeInc	0.11821	1.299701	-2.347537	20	129	1
SimCATI	-2.07559	-0.942078	-0.93157	30	115	2
SimCATIII	-2.07559	-0.942078	-0.93157	30	115	1
SimCBEOSB_10L	-2.03178	0.344396	-1.071989	20	126	1
SimCBEOSB_10R	-2.03177	-0.845965	-1.071973	20	126	1
SimCBEOSB_11L	-2.00342	0.45824	-1.175782	20	126	1
SimCBEOSB_11R	-2.0034	-0.732122	-1.175765	20	126	1
SimCBEOSB_12L	-2.00342	0.526302	-1.175781	20	126	1
SimCBEOSB_12R	-2.0034	-0.66406	-1.175765	20	126	1
SimCBEOSB_13L	-2.00342	0.594364	-1.175781	20	126	1
SimCBEOSB_13R	-2.0034	-0.595998	-1.175765	20	126	1
SimCBEOSB_14L	-2.00342	0.662426	-1.175781	20	126	1
SimCBEOSB_14R	-2.0034	-0.527936	-1.175765	20	126	1
SimCBEOSB_15L	-2.00342	0.730488	-1.175781	20	126	1
SimCBEOSB_15R	-2.0034	-0.459873	-1.175765	20	126	1
SimCBEOSB_16L	-2.03178	0.844623	-1.071989	20	126	1
SimCBEOSB_16R	-2.03177	-0.345739	-1.071973	20	126	1
SimCBEOSB_17L	-2.04973	0.844623	-1.006335	20	126	1
SimCBEOSB_17R	-2.04971	-0.345739	-1.006319	20	126	1
SimCBEOSB_18L	-2.06767	0.844623	-0.940681	20	126	1
SimCBEOSB_18R	-2.06766	-0.345739	-0.940665	20	126	1
SimCBEOSB_19L	-2.08562	0.844623	-0.875027	20	126	1
SimCBEOSB_19R	-2.0856	-0.345739	-0.875011	20	126	1
SimCBEOSB_1L	-2.13185	0.730488	-0.705876	20	126	1
SimCBEOSB_1R	-2.13183	-0.459873	-0.70586	20	126	1
SimCBEOSB_20L	-2.10356	0.844623	-0.809373	20	126	1
SimCBEOSB_20R	-2.10354	-0.345739	-0.809357	20	126	1
SimCBEOSB_2L	-2.13185	0.662426	-0.705876	20	126	1
SimCBEOSB_2R	-2.13183	-0.527936	-0.70586	20	126	1
SimCBEOSB_3L	-2.13185	0.594364	-0.705876	20	126	1
SimCBEOSB_3R	-2.13183	-0.595998	-0.70586	20	126	1
SimCBEOSB_4L	-2.13185	0.526302	-0.705876	20	126	1
SimCBEOSB_4R	-2.13183	-0.66406	-0.70586	20	126	1
SimCBEOSB_5L	-2.13185	0.45824	-0.705876	20	126	1
SimCBEOSB_5R	-2.13183	-0.732122	-0.70586	20	126	1
SimCBEOSB_6L	-2.10356	0.344396	-0.809373	20	126	1
SimCBEOSB_6R	-2.10354	-0.845965	-0.809357	20	126	1
SimCBEOSB_7L	-2.08562	0.344396	-0.875027	20	126	1
SimCBEOSB_7R	-2.0856	-0.845965	-0.875011	20	126	1
SimCBEOSB_8L	-2.06767	0.344396	-0.940682	20	126	1
SimCBEOSB_8R	-2.06766	-0.845965	-0.940665	20	126	1
SimCBEOSB_9L	-2.04973	0.344396	-1.006335	20	126	1
SimCBEOSB_9R	-2.04971	-0.845965	-1.006319	20	126	1
SimCBEOSB_BRTDOWN_L	-2.00706	0.834533	-1.162453	10	0	2
SimCBEOSB_BRTDOWN_R	-2.00704	-0.355828	-1.162437	10	0	2
SimCBEOSB_BRTUP_L	-2.00706	0.834533	-1.162453	10	0	1	w
SimCBEOSB_BRTUP_R	-2.00704	-0.355828	-1.162437	10	0	1	w
