Pit: Mirage 2000-5F, Creator: Laurent Buzzz Buzzi, Version: 1.5, Generated by F4buttonManager
AFDragChute                 -0.79144 1.039285 -1.267018    80  129   1 
AFDragChute                 -0.93653 1.039285 -1.267018    80  129   1 
ExtinguishMasterCaution     -1.80192 0.399472 -0.871464    40  127   1 
SimHUDScalesDown            0.09099 1.482797 -2.375744    30  115   2 
SimHUDScalesUp              0.09099 1.482797 -2.375744    30  115   1 
SimAltPressInc              -1.79485 -0.714816 -1.001261    15  125   1 w
SimAltPressDec              -1.79485 -0.714816 -1.001261    15  125   2 w
SimAntiCollOn               -0.89555 1.471924 -2.368484    35  115   1 
SimAntiCollOff              -0.89555 1.471924 -2.368484    35  115   2 
SimAuxComBackup             -1.18684 1.300843 -2.248587    35  115   2 
SimAuxComUFC                -1.18656 1.300868 -2.248587    35  115   1 
SimAVTRSwitchUp             1.03454 1.547758 -2.371817    25  126   1 
SimAVTRSwitchDown           1.03454 1.547758 -2.371817    25  126   2 
SimBupUhfFuncInc            -1.39630 1.343504 -2.268115    35  115   1 
SimBupUhfFuncDec            -1.39630 1.343504 -2.268115    35  126   2 
SimCATI                     -1.66501 1.066230 -1.982153    40  115   1 
SimCATIII                   -1.66439 1.066997 -1.982038    40  115   2 
SimCBEOSB_20R               -1.76318 0.184117 -1.472881    20  126   1 
SimCBEOSB_19R               -1.73510 0.184346 -1.533155    20   30   1 
SimCBEOSB_18R               -1.70591 0.184109 -1.591342    20  126   1 
SimCBEOSB_17R               -1.67916 0.182582 -1.648639    20  126   1 
SimCBEOSB_16R               -1.65157 0.181524 -1.707750    20  126   1 
SimCBEOSB_15R               -1.57366 0.131094 -1.811477    20  126   1 
SimCBEOSB_14R               -1.57366 0.066100 -1.811477    20  126   1 
SimCBEOSB_13R               -1.57366 -0.000136 -1.811477    20  126   1 
SimCBEOSB_12R               -1.57366 -0.067694 -1.811477    20  126   1 
SimCBEOSB_11R               -1.57366 -0.133291 -1.811477    20  126   1 
SimCBEOSB_10R               -1.64998 -0.180093 -1.709433    20  126   1 
SimCBEOSB_9R                -1.67842 -0.179584 -1.648507    20  126   1 
SimCBEOSB_8R                -1.70694 -0.178443 -1.587399    20  126   1 
SimCBEOSB_7R                -1.73532 -0.178834 -1.530944    20  126   1 
SimCBEOSB_6R                -1.76239 -0.178665 -1.472848    20  126   1 
